%Done using 'histogram.txt'

Euclidean Distance

1R:  1	0.786360023317756	0.740418651230224	0.743858210343362	0.741244070078152	0.775337489133910	0.951546980431650	0.901467045064384	0.904940391726863	0.891579739445570
2R:  0.786360023317756	1	0.835289003062762	0.828955952676307	0.810112330990063	0.958854202862539	0.782210170428466	0.776047532124270	0.771323280190586	0.785060588996399
3R:  0.740418651230224	0.835289003062762	1	0.918799470754128	0.882208352906499	0.843600103679672	0.725551089968620	0.769028851766301	0.756757401939208	0.767277434714741
4R:  0.743858210343362	0.828955952676307	0.918799470754128	1	0.885373090269533	0.836700413148185	0.729429921934241	0.766028385744469	0.769518526324314	0.769522222262489
5R:  0.741244070078152	0.810112330990063	0.882208352906499	0.885373090269533	1	0.812935985637654	0.727161020776834	0.753484309236611	0.751180765063801	0.778782098150810
6R:  0.775337489133910	0.958854202862539	0.843600103679672	0.836700413148185	0.812935985637654	1	0.770795551525337	0.765106842344071	0.760757636966704	0.774460690620282
7R:  0.951546980431650	0.782210170428466	0.725551089968620	0.729429921934241	0.727161020776834	0.770795551525337	1	0.889048408277731	0.895086519967552	0.879897489363056
8R:  0.901467045064384	0.776047532124270	0.769028851766301	0.766028385744469	0.753484309236611	0.765106842344071	0.889048408277731	1	0.944113083876250	0.907483761141397
9R:  0.904940391726863	0.771323280190586	0.756757401939208	0.769518526324314	0.751180765063801	0.760757636966704	0.895086519967552	0.944113083876250	1	0.906864194443210
10R: 0.891579739445570	0.785060588996399	0.767277434714741	0.769522222262489	0.778782098150810	0.774460690620282	0.879897489363056	0.907483761141397	0.906864194443210	1

Quadrtic Distance --------------------------------------

1R:  1	0.906262334134810	0.897116227951617	0.901978440066059	0.893958226417746	0.901634905471414	0.976566507519984	0.951923321123843	0.954245057346769	0.947288909144559
2R:  0.906262334134810	1	0.913111433063110	0.912139878145727	0.899929878278425	0.982656717070647	0.908230082757342	0.895647513087604	0.894949130408443	0.897061619013429
3R:  0.897116227951617	0.913111433063110	1	0.957334024184913	0.940529478002807	0.916110354940086	0.890235075719553	0.913136803837568	0.905865335114848	0.905516789235403
4R:  0.901978440066059	0.912139878145727	0.957334024184913	1	0.938979481107044	0.914202740166853	0.894630040927847	0.911403545414808	0.915537537080862	0.908752288443750
5R:  0.893958226417746	0.899929878278425	0.940529478002807	0.938979481107044	1	0.900953833667514	0.887124669852171	0.899876421997067	0.898779523208947	0.915252343470738
6R:  0.901634905471414	0.982656717070647	0.916110354940086	0.914202740166853	0.900953833667514	1	0.903297007531015	0.891243251120812	0.890586697900627	0.892750729743505
7R:  0.976566507519984	0.908230082757342	0.890235075719553	0.894630040927847	0.887124669852171	0.903297007531015	1	0.947823150572936	0.950776627444371	0.942866277669533
8R:  0.951923321123843	0.895647513087604	0.913136803837568	0.911403545414808	0.899876421997067	0.891243251120812	0.947823150572936	1	0.976188904072137	0.956860109271636
9R:  0.954245057346769	0.894949130408443	0.905865335114848	0.915537537080862	0.898779523208947	0.890586697900627	0.950776627444371	0.976188904072137	1	0.957058080385205
10R: 0.947288909144559	0.897061619013429	0.905516789235403	0.908752288443750	0.915252343470738	0.892750729743505	0.942866277669533	0.956860109271636	0.957058080385205	1
