framenumber, query_x, query_y, objx, objy, distance, 
7, 15.504970, 67.442029, 24.112926, 71.193306, 0.243026, 
7, 99.683754, 65.010680, 149.434028, 92.586767, 0.217096, 
7, 57.042526, 20.376543, 83.595675, 34.766289, 0.316355, 
7, 124.091992, 60.027504, 135.552327, 62.593153, 0.137414, 
7, 43.558131, 96.006329, 53.110282, 99.651864, 0.164929, 
7, 52.084042, 40.023090, 100.095788, 45.676237, 0.233901, 
7, 60.398165, 68.696227, 70.267309, 71.690251, 0.074376, 
7, 93.114791, 27.878011, 13.002748, 94.357636, 0.418639, 
7, 61.005512, 84.609342, 70.962554, 89.437503, 0.126367, 
7, 27.342785, 74.076863, 61.456329, 79.111887, 0.164568, 
7, 37.452821, 88.212361, 46.244686, 93.158460, 0.120374, 
7, 50.303090, 75.510911, 61.456329, 79.111887, 0.056706, 
7, 50.303090, 75.510911, 61.456329, 79.111887, 0.040893, 
7, 27.533599, 75.845467, 38.305354, 80.186025, 0.038574, 
8, 77.671329, 54.684967, 122.985162, 38.079468, 0.530281, 
8, 100.658926, 98.840335, 96.345846, 69.771977, 0.270642, 
8, 82.992936, 45.263064, 78.911144, 90.902478, 0.323408, 
8, 115.864275, 78.943972, 127.663505, 81.903826, 0.231559, 
8, 136.109954, 102.815849, 92.010991, 74.342752, 0.212542, 
8, 55.131238, 88.326018, 65.646694, 92.474455, 0.138197, 
8, 109.055340, 95.077369, 122.985162, 38.079468, 0.372762, 
8, 83.376450, 17.457297, 122.985162, 38.079468, 0.536247, 
8, 84.197716, 87.872183, 148.459750, 72.481401, 0.048102, 
8, 43.856431, 29.597324, 51.086177, 31.470201, 0.337260, 
8, 73.330659, 75.532109, 132.848095, 108.355942, 0.397693, 
8, 82.009223, 74.947651, 148.459750, 72.481401, 0.108099, 
8, 84.848799, 100.333944, 142.993460, 98.215453, 0.233510, 
8, 105.592863, 33.278525, 145.512753, 78.940067, 0.259794, 
8, 58.355675, 74.234747, 69.026434, 77.212250, 0.058295, 
8, 39.554146, 68.796201, 49.926750, 72.893057, 0.125859, 
8, 42.975124, 96.117365, 53.003697, 99.466122, 0.189478, 
8, 60.062848, 69.212400, 69.818852, 71.873358, 0.032502, 
8, 60.715664, 46.601600, 70.445166, 49.260040, 0.095213, 
8, 103.150623, 59.388663, 148.459750, 72.481401, 0.073822, 
8, 29.342233, 43.666321, 91.119520, 94.357207, 0.243423, 
8, 33.371811, 18.722876, 41.010883, 21.503045, 0.193003, 
8, 37.980536, 88.897977, 46.143125, 92.662007, 0.166423, 
8, 50.009526, 75.781407, 61.833922, 78.784881, 0.063883, 
8, 50.009526, 75.781407, 61.833922, 78.784881, 0.061634, 
8, 137.534113, 61.293528, 105.031663, 64.794131, 0.126411, 
9, 81.453772, 93.677293, 122.391864, 38.045765, 0.407229, 
9, 99.715212, 64.710528, 147.331719, 70.322550, 0.059109, 
9, 107.879270, 54.942760, 122.391864, 38.045765, 0.463336, 
9, 99.017185, 58.689783, 147.331719, 70.322550, 0.125065, 
9, 136.110066, 102.815768, 92.010991, 74.342752, 0.214732, 
9, 55.131238, 88.326018, 65.646694, 92.474455, 0.138197, 
9, 74.927697, 35.590280, 122.391864, 38.045765, 0.292210, 
9, 43.856431, 29.597324, 51.086177, 31.470201, 0.337260, 
9, 84.838893, 100.312832, 138.862545, 99.465570, 0.268905, 
9, 58.355675, 74.234747, 69.026434, 77.212250, 0.058295, 
9, 39.554146, 68.796201, 49.926750, 72.893057, 0.125537, 
9, 42.975124, 96.117365, 53.003697, 99.466122, 0.189477, 
9, 60.062849, 69.212400, 69.818852, 71.873358, 0.032530, 
9, 29.342233, 43.666321, 91.119520, 94.357207, 0.243474, 
9, 33.371811, 18.722876, 41.010883, 21.503045, 0.193003, 
9, 37.980533, 88.897976, 46.143125, 92.662007, 0.166397, 
9, 50.009526, 75.781407, 61.833922, 78.784881, 0.063887, 
9, 50.009526, 75.781407, 61.833922, 78.784881, 0.061635, 
9, 137.534117, 61.293530, 105.031329, 64.794315, 0.149618, 
10, 52.777069, 37.771672, 54.452777, 99.857637, 0.263839, 
10, 77.796035, 54.605852, 122.369133, 37.818266, 0.233848, 
10, 40.136232, 34.471336, 49.321031, 37.558134, 0.350992, 
10, 55.066254, 88.143065, 65.518854, 92.341295, 0.269839, 
10, 130.589204, 102.398513, 153.084353, 27.424586, 0.329638, 
10, 109.292392, 95.057651, 122.369133, 37.818266, 0.193500, 
10, 15.754782, 71.459343, 25.061862, 74.896045, 0.164369, 
10, 104.450172, 38.327667, 137.921757, 78.704262, 0.074531, 
10, 24.527735, 81.474579, 34.074382, 85.169870, 0.244984, 
10, 60.896635, 84.418126, 71.290581, 88.481386, 0.193403, 
10, 39.590138, 68.785324, 92.190743, 74.133350, 0.177821, 
10, 42.977891, 95.988378, 54.452777, 99.857637, 0.226016, 
10, 73.995281, 52.995720, 137.134601, 58.225534, 0.198506, 
10, 59.976409, 69.156477, 70.069543, 71.811686, 0.043815, 
10, 27.564825, 74.249258, 38.282046, 77.941146, 0.178930, 
10, 33.545237, 18.759329, 42.190456, 20.781981, 0.119047, 
10, 37.076840, 76.238121, 47.093535, 79.869132, 0.053645, 
10, 122.702168, 35.802232, 137.134601, 58.225534, 0.509600, 
10, 49.052612, 57.845001, 60.349026, 60.935923, 0.052233, 
11, 99.602571, 64.912356, 136.949965, 76.222300, 0.021187, 
